using cuda:0 device.
['mask_weared_incorrect', 'with_mask', 'without_mask']
Train epoch1: Loss:0.6278  Acc:0.7598
Validate epoch1: Loss:0.5181  Acc:0.7991
Train epoch2: Loss:0.4823  Acc:0.8096
Validate epoch2: Loss:0.2905  Acc:0.8761
Train epoch3: Loss:0.3987  Acc:0.8510
Validate epoch3: Loss:0.1877  Acc:0.9252
Train epoch4: Loss:0.3298  Acc:0.8792
Validate epoch4: Loss:0.1708  Acc:0.9353
Train epoch5: Loss:0.3179  Acc:0.8859
Validate epoch5: Loss:0.2269  Acc:0.9129
Train epoch6: Loss:0.2850  Acc:0.8962
Validate epoch6: Loss:0.1290  Acc:0.9542
Train epoch7: Loss:0.2596  Acc:0.9101
Validate epoch7: Loss:0.1243  Acc:0.9654
Train epoch8: Loss:0.2054  Acc:0.9293
Validate epoch8: Loss:0.0726  Acc:0.9833
Train epoch9: Loss:0.1763  Acc:0.9383
Validate epoch9: Loss:0.0778  Acc:0.9743
Train epoch10: Loss:0.1631  Acc:0.9430
Validate epoch10: Loss:0.0683  Acc:0.9777
Train epoch11: Loss:0.1534  Acc:0.9473
Validate epoch11: Loss:0.0865  Acc:0.9688
Train epoch12: Loss:0.1457  Acc:0.9489
Validate epoch12: Loss:0.0880  Acc:0.9699
Train epoch13: Loss:0.1461  Acc:0.9476
Validate epoch13: Loss:0.0663  Acc:0.9810
Train epoch14: Loss:0.1355  Acc:0.9477
Validate epoch14: Loss:0.0656  Acc:0.9821
Train epoch15: Loss:0.1308  Acc:0.9543
Validate epoch15: Loss:0.0577  Acc:0.9833
Train epoch16: Loss:0.1329  Acc:0.9533
Validate epoch16: Loss:0.0547  Acc:0.9844
Train epoch17: Loss:0.1322  Acc:0.9525
Validate epoch17: Loss:0.0600  Acc:0.9844
Train epoch18: Loss:0.1316  Acc:0.9528
Validate epoch18: Loss:0.0548  Acc:0.9844
Train epoch19: Loss:0.1364  Acc:0.9479
Validate epoch19: Loss:0.0556  Acc:0.9855
Train epoch20: Loss:0.1238  Acc:0.9551
Validate epoch20: Loss:0.0570  Acc:0.9844
Train epoch21: Loss:0.1294  Acc:0.9525
Validate epoch21: Loss:0.0552  Acc:0.9844
Train epoch22: Loss:0.1188  Acc:0.9588
Validate epoch22: Loss:0.0553  Acc:0.9844
Train epoch23: Loss:0.1302  Acc:0.9525
Validate epoch23: Loss:0.0559  Acc:0.9844
Train epoch24: Loss:0.1319  Acc:0.9526
Validate epoch24: Loss:0.0561  Acc:0.9844
Train epoch25: Loss:0.1297  Acc:0.9489
Validate epoch25: Loss:0.0560  Acc:0.9844
Train epoch26: Loss:0.1202  Acc:0.9557
Validate epoch26: Loss:0.0552  Acc:0.9844
Train epoch27: Loss:0.1336  Acc:0.9528
Validate epoch27: Loss:0.0560  Acc:0.9844
Train epoch28: Loss:0.1332  Acc:0.9515
Validate epoch28: Loss:0.0561  Acc:0.9855
Train epoch29: Loss:0.1312  Acc:0.9500
Validate epoch29: Loss:0.0560  Acc:0.9855
Train epoch30: Loss:0.1254  Acc:0.9565
Validate epoch30: Loss:0.0561  Acc:0.9855
